@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute ~-1 numeric
@attribute ~-2 numeric
@attribute ~-3 numeric
@attribute ~-4 numeric
@attribute ~-5 numeric
@attribute ~-6 numeric
@attribute ~-7 numeric
@attribute ~-8 numeric
@attribute ~-9 numeric
@attribute ~-10 numeric
@attribute ~-11 numeric
@attribute ~-12 numeric
@attribute ~-13 numeric
@attribute ~-14 numeric
@attribute ~-15 numeric
@attribute ~-16 numeric
@attribute ~-17 numeric
@attribute ~-18 numeric
@attribute ~-19 numeric
@attribute ~-20 numeric
@attribute ~-21 numeric
@attribute ~-22 numeric
@attribute ~-23 numeric
@attribute ~-24 numeric
@attribute ~-25 numeric
@attribute ~-26 numeric
@attribute ~-27 numeric
@attribute ~-28 numeric
@attribute ~-29 numeric
@attribute ~-30 numeric
@attribute ~-31 numeric
@attribute ~-32 numeric
@attribute ~-33 numeric
@attribute ~-34 numeric
@attribute ~-35 numeric
@attribute ~-36 numeric
@attribute ~-37 numeric
@attribute ~-38 numeric
@attribute ~-39 numeric
@attribute ~-40 numeric
@attribute ~-41 numeric
@attribute ~-42 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric

@data
2746,'2024/11/28 11:20:07:450',9,0.787238,0.725204,0.687644,0.66574,0.630571,0.728334,0.707576,0.694491,0.686611,0.776509,0.777759,0.780356,0.782641,0.818865,0.838713,0.851461,0.860795,0.856448,0.881522,0.898137,0.911459,0.901302,0.841207,0.744537,0.654885,0.582563,0.587919,0.461031,0.378828,0.297342,0.573353,0.424815,0.326748,0.232441,0.593348,0.460945,0.365424,0.276144,0.635589,0.527998,0.453666,0.380821,1,1,10,0.5,0.05,1.75,0.1,1.5,6,0,3.4,5
2747,'2024/11/28 11:20:07:483',9,0.790694,0.72973,0.69286,0.671907,0.638095,0.731852,0.712933,0.700476,0.693812,0.780159,0.783346,0.788152,0.792911,0.823067,0.84282,0.856315,0.866163,0.861324,0.886596,0.903573,0.917337,0.901099,0.839685,0.741782,0.652354,0.581536,0.584889,0.458434,0.375578,0.295222,0.570001,0.42169,0.323692,0.232296,0.590413,0.45583,0.361582,0.273904,0.634309,0.526513,0.452768,0.381276,1,1,10,0.5,0.05,1.75,0.1,1.5,6,0,3.4,5
2748,'2024/11/28 11:20:07:518',9,0.794419,0.733137,0.696445,0.676958,0.64331,0.73803,0.719957,0.70775,0.701045,0.786631,0.791125,0.796099,0.800992,0.829335,0.849662,0.864285,0.874587,0.866882,0.892145,0.909322,0.922945,0.894447,0.835124,0.735415,0.64442,0.574104,0.575393,0.449125,0.367466,0.287846,0.560616,0.412689,0.314556,0.222394,0.582171,0.446603,0.352571,0.264001,0.627376,0.519374,0.445546,0.373473,1,1,10,0.5,0.05,1.75,0.1,1.5,6,0,3.4,5
2749,'2024/11/28 11:20:07:550',9,0.799267,0.738359,0.701009,0.680981,0.648065,0.741726,0.724333,0.712596,0.706217,0.790788,0.796087,0.801924,0.807135,0.833933,0.854285,0.869722,0.880753,0.871548,0.897186,0.915986,0.930892,0.885617,0.829775,0.729844,0.637767,0.565951,0.565848,0.438832,0.356229,0.275834,0.551203,0.402773,0.305002,0.211861,0.573138,0.437877,0.342469,0.251762,0.618706,0.5096,0.43662,0.365066,1,1,10,0.5,0.05,1.75,0.1,1.5,6,0,3.4,5
2750,'2024/11/28 11:20:07:582',9,0.800127,0.73891,0.701258,0.682022,0.649155,0.743992,0.726449,0.715144,0.708605,0.793923,0.799973,0.804668,0.808429,0.836925,0.858214,0.874373,0.885853,0.873529,0.89958,0.918871,0.934002,0.874965,0.817259,0.71683,0.623517,0.553092,0.552274,0.425095,0.343147,0.263299,0.538545,0.389402,0.290133,0.194999,0.561076,0.424209,0.327875,0.237184,0.607414,0.497316,0.424001,0.353516,1,1,10,0.5,0.05,1.75,0.1,1.5,6,0,3.4,5
2751,'2024/11/28 11:20:07:607',9,0.800442,0.738727,0.700748,0.681672,0.648515,0.744061,0.726745,0.715746,0.709972,0.794745,0.801405,0.80606,0.809937,0.838099,0.860605,0.877423,0.889221,0.87486,0.901375,0.921194,0.93683,0.863777,0.807809,0.706125,0.610852,0.538334,0.543748,0.414197,0.331446,0.250463,0.528213,0.375418,0.271958,0.174112,0.54982,0.409359,0.310929,0.219182,0.594964,0.481565,0.406343,0.334557,1,1,10,0.5,0.05,1.75,0.1,1.5,6,0,3.4,5
2752,'2024/11/28 11:20:07:643',9,0.801004,0.738583,0.700508,0.681557,0.648081,0.742595,0.724543,0.712928,0.706423,0.793713,0.800542,0.805486,0.809967,0.837581,0.860092,0.876518,0.887904,0.874809,0.901015,0.920704,0.936493,0.857414,0.802566,0.700165,0.602908,0.527147,0.531426,0.400043,0.315195,0.232562,0.514891,0.359214,0.254629,0.156549,0.536215,0.395879,0.297405,0.206315,0.582001,0.468917,0.392276,0.319325,1,1,10,0.5,0.05,1.75,0.1,1.5,6,0,3.4,5
2753,'2024/11/28 11:20:07:709',9,0.801581,0.738127,0.699143,0.680788,0.647806,0.742829,0.723891,0.712324,0.706761,0.793813,0.799998,0.804796,0.809299,0.837395,0.859832,0.87589,0.887449,0.87527,0.901593,0.920431,0.935581,0.855363,0.799676,0.695166,0.595825,0.516375,0.525405,0.393306,0.307697,0.224349,0.508211,0.351142,0.246325,0.147859,0.529191,0.388791,0.289674,0.197619,0.575966,0.463311,0.38578,0.310653,1,1,10,0.5,0.05,1.75,0.1,1.5,6,0,3.4,5
2754,'2024/11/28 11:20:07:745',9,0.801398,0.735842,0.695897,0.677818,0.645178,0.740998,0.722465,0.711766,0.706997,0.793088,0.799663,0.805527,0.811418,0.837242,0.859488,0.87565,0.887874,0.875617,0.902477,0.921785,0.937364,0.854478,0.798462,0.691167,0.590065,0.508568,0.518234,0.384524,0.297956,0.21395,0.501722,0.343517,0.238148,0.13932,0.523359,0.381755,0.282213,0.188937,0.570002,0.456972,0.37896,0.303394,1,1,10,0.5,0.05,1.75,0.1,1.5,6,0,3.4,5
2755,'2024/11/28 11:20:07:782',9,0.80022,0.734407,0.694199,0.675541,0.642345,0.739787,0.720755,0.709731,0.704768,0.792427,0.799657,0.805776,0.811639,0.837233,0.858911,0.875457,0.887378,0.875893,0.902644,0.922142,0.937526,0.859382,0.799447,0.689168,0.585973,0.503552,0.513426,0.376324,0.286953,0.201712,0.497883,0.337756,0.2315,0.132755,0.520732,0.37692,0.27595,0.181266,0.568694,0.45492,0.377487,0.302013,1,1,10,0.5,0.05,1.75,0.1,1.5,6,0,3.4,5
2756,'2024/11/28 11:20:07:825',9,0.799163,0.732543,0.690657,0.672364,0.63995,0.738035,0.719275,0.707783,0.70211,0.79113,0.798417,0.804604,0.81013,0.835928,0.85746,0.874274,0.886357,0.875529,0.902121,0.921568,0.937154,0.866112,0.802079,0.691049,0.586395,0.501026,0.515725,0.376469,0.286794,0.200248,0.49943,0.336933,0.229261,0.127324,0.520543,0.37572,0.273377,0.177561,0.566855,0.450991,0.372725,0.296981,1,1,10,0.5,0.05,1.75,0.1,1.5,6,0,3.4,5
2757,'2024/11/28 11:20:07:862',9,0.797944,0.730456,0.689574,0.672298,0.639242,0.73563,0.716717,0.704651,0.698323,0.789285,0.795945,0.802001,0.807873,0.834883,0.855971,0.873297,0.886153,0.875075,0.901687,0.921046,0.936818,0.873545,0.807516,0.695398,0.589734,0.504678,0.520575,0.380504,0.288698,0.200072,0.502784,0.338867,0.229936,0.126265,0.523221,0.37603,0.271999,0.174422,0.569836,0.453456,0.374347,0.297626,1,1,10,0.5,0.05,1.75,0.1,1.5,6,0,3.4,5
2758,'2024/11/28 11:20:07:899',9,0.796818,0.729207,0.689172,0.6704,0.636135,0.734485,0.71515,0.702801,0.696263,0.788177,0.794487,0.800266,0.805887,0.834298,0.856055,0.873059,0.885922,0.874664,0.901741,0.920832,0.935967,0.888216,0.821702,0.705455,0.598563,0.512818,0.528705,0.385751,0.291691,0.201118,0.510558,0.34342,0.232147,0.126932,0.531621,0.381546,0.275194,0.176392,0.579487,0.461748,0.380571,0.301853,1,1,10,0.5,0.05,1.75,0.1,1.5,6,0,3.4,5
2759,'2024/11/28 11:20:07:937',9,0.802545,0.732615,0.690543,0.673175,0.64075,0.735864,0.716549,0.70385,0.696389,0.79081,0.79719,0.802289,0.807081,0.838533,0.858753,0.874477,0.886657,0.88034,0.905208,0.923347,0.938493,0.926262,0.855949,0.736887,0.626234,0.536408,0.551218,0.40242,0.305486,0.212185,0.534384,0.362884,0.24822,0.140732,0.558045,0.403844,0.295823,0.195421,0.608093,0.484797,0.401344,0.320898,1,1,10,0.5,0.05,1.75,0.1,1.5,6,0,3.4,5
2760,'2024/11/28 11:20:07:972',9,0.806304,0.734821,0.693784,0.676379,0.641149,0.73662,0.71829,0.706142,0.699577,0.792215,0.799038,0.804154,0.809333,0.839909,0.862068,0.878384,0.890729,0.882069,0.907897,0.925472,0.939609,0.948122,0.874309,0.750503,0.63412,0.541765,0.565681,0.418244,0.320312,0.225058,0.545916,0.373943,0.258654,0.150125,0.56795,0.414086,0.305094,0.203944,0.618615,0.498329,0.414846,0.334266,1,1,10,0.5,0.05,1.75,0.1,1.5,6,0,3.4,5
2761,'2024/11/28 11:20:08:019',9,0.812993,0.737405,0.693863,0.676845,0.640669,0.737956,0.719566,0.70812,0.70237,0.794537,0.800923,0.806426,0.812452,0.842159,0.864274,0.88038,0.892437,0.885725,0.912141,0.929633,0.944279,0.96035,0.891195,0.762686,0.642614,0.548454,0.578851,0.429752,0.331103,0.234924,0.558681,0.384226,0.267494,0.154705,0.579789,0.423514,0.314394,0.212218,0.629665,0.507815,0.423709,0.340614,1,1,10,0.5,0.05,1.75,0.1,1.5,6,0,3.4,5
2762,'2024/11/28 11:20:08:055',9,0.816366,0.739464,0.696136,0.678927,0.641867,0.738877,0.719657,0.70721,0.700166,0.796028,0.801286,0.805614,0.810251,0.844765,0.866165,0.881417,0.892313,0.88884,0.915749,0.933382,0.947469,0.971659,0.903856,0.774305,0.651359,0.556249,0.583912,0.433233,0.335138,0.23969,0.563068,0.387972,0.270782,0.159427,0.585571,0.427458,0.317797,0.214995,0.636599,0.514021,0.428805,0.34515,1,1,10,0.5,0.05,1.75,0.1,1.5,6,0,3.4,5
2763,'2024/11/28 11:20:08:087',9,0.818577,0.741737,0.697579,0.680173,0.642198,0.738311,0.71793,0.705112,0.697788,0.795948,0.7998,0.804399,0.809187,0.845281,0.864735,0.880926,0.89269,0.889991,0.917196,0.936316,0.95181,0.975453,0.911931,0.781719,0.659171,0.563523,0.586959,0.43451,0.33454,0.237354,0.564575,0.388172,0.270698,0.156545,0.584246,0.426657,0.315624,0.210944,0.632882,0.508269,0.423055,0.338815,1,1,10,0.5,0.05,1.75,0.1,1.5,6,0,3.4,5
